fid,gid,no,instl_pupr,administ,instl_dtl,lo,la,tot_camera,pixel,instl_de
1,1,1,차량방범,충청북도 단양군청,충청북도 단양군 매포읍 가평리 181-2,128.2825925,37.0730169,1,700,2020-05
2,2,2,어린이보호,충청북도 단양군청,충청북도 단양군 매포읍 가평리 181-2,128.2825925,37.0730169,1,700,2020-05
3,3,3,차량방범,충청북도 단양군청,충청북도 단양군 영춘면 별방리 540,128.4159704,37.09640154,1,700,2020-05
4,4,4,어린이보호,충청북도 단양군청,충청북도 단양군 영춘면 별방리 540,128.4159704,37.09640154,1,200,2020-05
5,5,5,차량방범,충청북도 단양군청,충청북도 단양군 어상천면 임현리 456-1,128.3578322,37.10277047,1,700,2020-05
6,6,6,어린이보호,충청북도 단양군청,충청북도 단양군 어상천면 임현리 456-1,128.3578322,37.10277047,1,200,2020-05
7,7,7,차량방범,충청북도 단양군청,충청북도 단양군 적성면 대가리 182-2,128.2638648,37.03251581,1,200,2022-03
8,8,8,어린이보호,충청북도 단양군청,충청북도 단양군 적성면 대가리 182-2,128.2638648,37.03251581,1,200,2022-03
9,9,9,차량방범,충청북도 단양군청,충청북도 단양군 가곡면 사평리 428-3,128.384739,37.02822244,1,200,2012-04
10,10,10,어린이보호,충청북도 단양군청,충청북도 단양군 가곡면 사평리 428-3,128.384739,37.02822244,1,200,2012-04
11,11,11,차량방범,충청북도 단양군청,충청북도 단양군 단성면 가산리 616-4,128.305044,36.89231609,1,200,2012-04
12,12,12,어린이보호,충청북도 단양군청,충청북도 단양군 단성면 가산리 616-4,128.305044,36.89231609,1,200,2019-04
13,13,13,차량방범,충청북도 단양군청,충청북도 단양군 가곡면 보발리 715-1,128.448222,37.02967829,1,200,2022-03
14,14,14,어린이보호,충청북도 단양군청,충청북도 단양군 가곡면 보발리 715-1,128.448222,37.02967829,1,200,2022-03
15,15,15,어린이보호,충청북도 단양군청,충청북도 단양군 가곡면 대대리 220-1,128.4268534,36.99800358,1,200,2022-03
16,16,16,어린이보호,충청북도 단양군청,충청북도 단양군 가곡면 대대리 220-1,128.4268534,36.99800358,1,200,2022-03
17,17,17,어린이보호,충청북도 단양군청,충청북도 단양군 대강면 장정리 23-1,128.395257,36.84600566,1,200,2013-05
18,18,18,어린이보호,충청북도 단양군청,충청북도 단양군 대강면 장정리 23-1,128.395257,36.84600566,2,200,2021-05
19,19,19,어린이보호,충청북도 단양군청,충청북도 단양군 대강면 장정리 34-4,128.394974,36.84630791,1,200,2013-05
20,20,20,다목적,충청북도 단양군청,충청북도 단양군 단양읍 상진리 514,128.354495,36.98088,3,200,2022-03
21,21,21,다목적,충청북도 단양군청,충청북도 단양군 단양읍 상진리 418,128.350884,36.981255,2,200,2022-03
22,22,22,다목적,충청북도 단양군청,충청북도 단양군 적성면 현곡리 155-2,128.3002248,36.95247815,1,200,2013-12
23,23,23,다목적,충청북도 단양군청,충청북도 단양군 단양읍 상진리 1017,128.3640878,36.97547942,2,200,2013-12
24,24,24,다목적,충청북도 단양군청,충청북도 단양군 대강면 장림리 222,128.354379,36.92227281,1,200,2013-12
25,25,25,다목적,충청북도 단양군청,충청북도 단양군 대강면 장림리 222,128.3543258,36.92227281,2,200,2013-12
26,26,26,다목적,충청북도 단양군청,충청북도 단양군 가곡면 대대리 315-9,128.423234,36.99760968,1,200,2013-12
27,27,27,다목적,충청북도 단양군청,충청북도 단양군 가곡면 대대리 315-9,128.423234,36.99760968,1,200,2021-05
28,28,28,다목적,충청북도 단양군청,충청북도 단양군 영춘면 장발리 220-1,128.416902,37.09428103,1,200,2013-12
