보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
201-0001,1,,충청북도 청주시 상당구 영동 29-1,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0002,1,,충청북도 청주시 상당구 영동 29-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0003,1,,충청북도 청주시 상당구 영동 115-1,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0004,1,,충청북도 청주시 상당구 영동 115-1,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0005,1,,충청북도 청주시 상당구 영동 115-1,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0006,1,,충청북도 청주시 상당구 영동 31-0,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0007,1,,충청북도 청주시 상당구 영동 35-4,,,2025,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-0008,1,,충청북도 청주시 상당구 영동 35-4,,,2023,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-0009,1,,충청북도 청주시 상당구 영동 38-4,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0010,1,,충청북도 청주시 상당구 영동 40-0,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-0011,1,,충청북도 청주시 상당구 영동 40-0,,,2023,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-0012,1,,충청북도 청주시 상당구 영동 24-2,,,2023,전용주,043-201-2773,충청북도 청주시청,2025-06-24
201-0013,1,,충청북도 청주시 상당구 영동 24-17,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0014,1,,충청북도 청주시 상당구 영동 110-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0015,1,,충청북도 청주시 상당구 영동 25-14,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0016,1,,충청북도 청주시 상당구 영동 19-5,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
201-0017,1,,충청북도 청주시 상당구 영동 14-2,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
